Word,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20
agree,2.88089454800339e-05,4.266003831735725e-05,2.2832443264102775e-05,6.456371781849315e-06,1.9517149103508115e-05,3.4206064779861906e-05,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,1.0247527698090005e-05,4.7114093122122064e-05,3.333958198208594e-05,2.5755273906771714e-05,2.3547315651535346e-05,0.004404462246801618,2.9074112351899868e-05,1.435502223905932e-05,8.598860732124434e-06,2.2144162638940886e-05,2.920853476246884e-05
required,2.88089454800339e-05,4.266003831735725e-05,0.0021913307189777914,6.456371781849315e-06,1.9517149103508115e-05,3.4206064779861906e-05,0.002736344171275025,3.897539660968391e-05,4.324406568514422e-05,1.0247527698090005e-05,4.7114093122122064e-05,3.333958198208594e-05,2.5755273906771714e-05,2.3547315651535346e-05,0.002057886459980186,2.9074112351899868e-05,1.435502223905932e-05,8.598860732124434e-06,2.2144162638940886e-05,2.920853476246884e-05
covid_vaccine,2.88089454800339e-05,4.266003831735725e-05,2.2832443264102775e-05,6.456371781849315e-06,1.9517149103508115e-05,3.4206064779861906e-05,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,0.0003346652270597336,4.7114093122122064e-05,3.333958198208594e-05,2.5755273906771714e-05,2.3547315651535346e-05,0.021857119661286013,2.9074112351899868e-05,1.435502223905932e-05,8.598860732124434e-06,2.2144162638940886e-05,2.920853476246884e-05
long_term_success,2.88089454800339e-05,4.266003831735725e-05,2.2832443264102775e-05,6.456371781849315e-06,1.9517149103508115e-05,3.4206064779861906e-05,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,1.0247527698090005e-05,4.7114093122122064e-05,0.0010888088427602896,2.5755273906771714e-05,2.3547315651535346e-05,4.632646511433493e-06,2.9074112351899868e-05,1.435502223905932e-05,8.598860732124434e-06,2.2144162638940886e-05,2.920853476246884e-05
required_vaccine,2.88089454800339e-05,4.266003831735725e-05,2.2832443264102775e-05,6.456371781849315e-06,1.9517149103508115e-05,3.4206064779861906e-05,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,1.0247527698090005e-05,4.7114093122122064e-05,3.333958198208594e-05,0.0008411194235270935,2.3547315651535346e-05,4.632646511433493e-06,2.9074112351899868e-05,1.435502223905932e-05,8.598860732124434e-06,2.2144162638940886e-05,2.920853476246884e-05
infected,2.88089454800339e-05,4.266003831735725e-05,2.2832443264102775e-05,6.456371781849315e-06,1.9517149103508115e-05,3.4206064779861906e-05,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,0.0019567537238679516,4.7114093122122064e-05,0.0010888088427602896,2.5755273906771714e-05,0.0007690116066372872,4.632646511433493e-06,2.9074112351899868e-05,1.435502223905932e-05,8.598860732124434e-06,2.2144162638940886e-05,2.920853476246884e-05
risk,2.88089454800339e-05,4.266003831735725e-05,2.2832443264102775e-05,6.456371781849315e-06,0.08714013202802846,3.4206064779861906e-05,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,0.10414832902278567,4.7114093122122064e-05,3.333958198208594e-05,2.5755273906771714e-05,2.3547315651535346e-05,4.632646511433493e-06,2.9074112351899868e-05,0.014556862214326324,8.598860732124434e-06,2.2144162638940886e-05,2.920853476246884e-05
covid-19,2.88089454800339e-05,4.266003831735725e-05,2.2832443264102775e-05,6.456371781849315e-06,0.04821389984808327,3.4206064779861906e-05,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,1.0247527698090005e-05,0.0060132929212263556,3.333958198208594e-05,2.5755273906771714e-05,0.0268602617911386,0.009830918753826178,2.9074112351899868e-05,1.435502223905932e-05,8.598860732124434e-06,2.2144162638940886e-05,2.920853476246884e-05
vaccination,2.88089454800339e-05,4.266003831735725e-05,2.2832443264102775e-05,0.0008240433415956072,1.9517149103508115e-05,3.4206064779861906e-05,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,0.009418360809185755,4.7114093122122064e-05,3.333958198208594e-05,2.5755273906771714e-05,2.3547315651535346e-05,0.0035244963267435808,2.9074112351899868e-05,1.435502223905932e-05,0.010897557438973134,0.020352393249906436,2.920853476246884e-05
needed,2.88089454800339e-05,4.266003831735725e-05,2.2832443264102775e-05,0.0028680107661300017,1.9517149103508115e-05,3.4206064779861906e-05,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,1.0247527698090005e-05,4.7114093122122064e-05,3.333958198208594e-05,2.5755273906771714e-05,2.3547315651535346e-05,4.632646511433493e-06,2.9074112351899868e-05,1.435502223905932e-05,0.000553046789644175,2.2144162638940886e-05,2.920853476246884e-05
harm,2.88089454800339e-05,4.266003831735725e-05,2.2832443264102775e-05,0.009613103267093505,1.9517149103508115e-05,3.4206064779861906e-05,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,0.01168928470471726,4.7114093122122064e-05,0.0010888088427602896,2.5755273906771714e-05,2.3547315651535346e-05,0.00029795461986411247,2.9074112351899868e-05,1.435502223905932e-05,8.598860732124434e-06,2.2144162638940886e-05,2.920853476246884e-05
actual,2.88089454800339e-05,4.266003831735725e-05,2.2832443264102775e-05,6.456371781849315e-06,0.0018731472529104221,3.4206064779861906e-05,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,0.005525348416846032,4.7114093122122064e-05,3.333958198208594e-05,2.5755273906771714e-05,2.3547315651535346e-05,4.632646511433493e-06,2.9074112351899868e-05,1.435502223905932e-05,8.598860732124434e-06,2.2144162638940886e-05,0.0009538965110761003
