Word,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30
evidence,9.886966502113124e-06,7.569307504063367e-06,3.345889244966208e-05,3.0350074332401233e-05,4.0711309745759475e-05,4.1460205605267715e-05,2.9515426966100528e-05,2.338946543431888e-05,5.668384616656473e-05,2.576954790456601e-05,3.326138350637319e-05,1.4322731324736963e-05,4.312617329123663e-05,6.916584307154886e-06,0.0030151420438964834,2.9749176184637896e-05,2.4561974778194683e-05,2.9096291607985128e-05,2.579904541340308e-05,3.189631718339101e-05,2.967084948576048e-05,0.022623821828599275,5.0464862852803215e-05,3.422091772327306e-05,2.7069449312369413e-05,5.023988352217926e-05,2.588794451340505e-05,3.8684890294664926e-05,2.9827917520131538e-05,2.0166558844903218e-05
supports,0.002641907157664108,7.569307504063367e-06,3.345889244966208e-05,3.0350074332401233e-05,4.0711309745759475e-05,4.1460205605267715e-05,2.9515426966100528e-05,2.338946543431888e-05,5.668384616656473e-05,2.576954790456601e-05,3.326138350637319e-05,1.4322731324736963e-05,4.312617329123663e-05,6.916584307154886e-06,2.611459009498827e-06,2.9749176184637896e-05,2.4561974778194683e-05,2.9096291607985128e-05,2.579904541340308e-05,3.189631718339101e-05,2.967084948576048e-05,2.8292746370724522e-05,5.0464862852803215e-05,3.422091772327306e-05,2.7069449312369413e-05,5.023988352217926e-05,2.588794451340505e-05,3.8684890294664926e-05,2.9827917520131538e-05,2.0166558844903218e-05
safety,0.018872698336496414,7.569307504063367e-06,3.345889244966208e-05,3.0350074332401233e-05,4.0711309745759475e-05,4.1460205605267715e-05,2.9515426966100528e-05,2.338946543431888e-05,5.668384616656473e-05,2.576954790456601e-05,3.326138350637319e-05,1.4322731324736963e-05,4.312617329123663e-05,6.916584307154886e-06,0.004173807653468401,2.9749176184637896e-05,2.4561974778194683e-05,2.9096291607985128e-05,2.579904541340308e-05,3.189631718339101e-05,2.967084948576048e-05,2.8292746370724522e-05,5.0464862852803215e-05,3.422091772327306e-05,2.7069449312369413e-05,5.023988352217926e-05,2.588794451340505e-05,3.8684890294664926e-05,2.9827917520131538e-05,2.0166558844903218e-05
validity,9.886966502113124e-06,7.569307504063367e-06,3.345889244966208e-05,0.0013769378342395882,4.0711309745759475e-05,4.1460205605267715e-05,2.9515426966100528e-05,2.338946543431888e-05,5.668384616656473e-05,2.576954790456601e-05,3.326138350637319e-05,1.4322731324736963e-05,4.312617329123663e-05,6.916584307154886e-06,2.611459009498827e-06,2.9749176184637896e-05,2.4561974778194683e-05,2.9096291607985128e-05,2.579904541340308e-05,3.189631718339101e-05,2.967084948576048e-05,2.8292746370724522e-05,5.0464862852803215e-05,3.422091772327306e-05,2.7069449312369413e-05,5.023988352217926e-05,2.588794451340505e-05,3.8684890294664926e-05,2.9827917520131538e-05,2.0166558844903218e-05
long,0.14608700757599286,7.569307504063367e-06,3.345889244966208e-05,3.0350074332401233e-05,4.0711309745759475e-05,4.1460205605267715e-05,2.9515426966100528e-05,2.338946543431888e-05,5.668384616656473e-05,2.576954790456601e-05,3.326138350637319e-05,1.4322731324736963e-05,4.312617329123663e-05,6.916584307154886e-06,2.611459009498827e-06,2.9749176184637896e-05,2.4561974778194683e-05,2.9096291607985128e-05,2.579904541340308e-05,3.189631718339101e-05,2.967084948576048e-05,2.8292746370724522e-05,5.0464862852803215e-05,3.422091772327306e-05,2.7069449312369413e-05,5.023988352217926e-05,2.588794451340505e-05,0.00347146724157444,2.9827917520131538e-05,2.0166558844903218e-05
term,0.13643626687506552,7.569307504063367e-06,3.345889244966208e-05,3.0350074332401233e-05,4.0711309745759475e-05,4.1460205605267715e-05,2.9515426966100528e-05,2.338946543431888e-05,5.668384616656473e-05,2.576954790456601e-05,3.326138350637319e-05,1.4322731324736963e-05,4.312617329123663e-05,6.916584307154886e-06,2.611459009498827e-06,2.9749176184637896e-05,2.4561974778194683e-05,2.9096291607985128e-05,2.579904541340308e-05,3.189631718339101e-05,2.967084948576048e-05,2.8292746370724522e-05,5.0464862852803215e-05,3.422091772327306e-05,2.7069449312369413e-05,5.023988352217926e-05,2.588794451340505e-05,3.8684890294664926e-05,2.9827917520131538e-05,2.0166558844903218e-05
success,9.886966502113124e-06,7.569307504063367e-06,3.345889244966208e-05,0.0013769378342395882,4.0711309745759475e-05,4.1460205605267715e-05,2.9515426966100528e-05,2.338946543431888e-05,5.668384616656473e-05,0.0011691261475154052,3.326138350637319e-05,1.4322731324736963e-05,4.312617329123663e-05,6.916584307154886e-06,2.611459009498827e-06,2.9749176184637896e-05,2.4561974778194683e-05,2.9096291607985128e-05,2.579904541340308e-05,3.189631718339101e-05,2.967084948576048e-05,2.8292746370724522e-05,5.0464862852803215e-05,3.422091772327306e-05,2.7069449312369413e-05,5.023988352217926e-05,2.588794451340505e-05,3.8684890294664926e-05,2.9827917520131538e-05,2.0166558844903218e-05
early,9.886966502113124e-06,7.569307504063367e-06,3.345889244966208e-05,3.0350074332401233e-05,4.0711309745759475e-05,4.1460205605267715e-05,2.9515426966100528e-05,2.338946543431888e-05,5.668384616656473e-05,2.576954790456601e-05,3.326138350637319e-05,1.4322731324736963e-05,4.312617329123663e-05,6.916584307154886e-06,0.0008136773857098409,2.9749176184637896e-05,2.4561974778194683e-05,2.9096291607985128e-05,2.579904541340308e-05,3.189631718339101e-05,2.967084948576048e-05,2.8292746370724522e-05,5.0464862852803215e-05,3.422091772327306e-05,2.7069449312369413e-05,5.023988352217926e-05,2.588794451340505e-05,0.017202596646693543,2.9827917520131538e-05,0.001809687138107759
process,9.886966502113124e-06,7.569307504063367e-06,3.345889244966208e-05,3.0350074332401233e-05,4.0711309745759475e-05,4.1460205605267715e-05,2.9515426966100528e-05,2.338946543431888e-05,5.668384616656473e-05,2.576954790456601e-05,3.326138350637319e-05,1.4322731324736963e-05,4.312617329123663e-05,6.916584307154886e-06,0.0010454105076242246,2.9749176184637896e-05,2.4561974778194683e-05,2.9096291607985128e-05,2.579904541340308e-05,3.189631718339101e-05,0.005295477095096021,2.8292746370724522e-05,5.0464862852803215e-05,3.422091772327306e-05,2.7069449312369413e-05,5.023988352217926e-05,2.588794451340505e-05,3.8684890294664926e-05,2.9827917520131538e-05,2.0166558844903218e-05
agree,9.886966502113124e-06,7.569307504063367e-06,3.345889244966208e-05,3.0350074332401233e-05,4.0711309745759475e-05,4.1460205605267715e-05,2.9515426966100528e-05,2.338946543431888e-05,5.668384616656473e-05,2.576954790456601e-05,3.326138350637319e-05,1.4322731324736963e-05,4.312617329123663e-05,6.916584307154886e-06,0.0033627417267680587,2.9749176184637896e-05,2.4561974778194683e-05,2.9096291607985128e-05,2.579904541340308e-05,3.189631718339101e-05,0.0013461224108883257,2.8292746370724522e-05,5.0464862852803215e-05,3.422091772327306e-05,2.7069449312369413e-05,5.023988352217926e-05,2.588794451340505e-05,3.8684890294664926e-05,2.9827917520131538e-05,2.0166558844903218e-05
required,9.886966502113124e-06,7.569307504063367e-06,3.345889244966208e-05,3.0350074332401233e-05,4.0711309745759475e-05,4.1460205605267715e-05,2.9515426966100528e-05,2.338946543431888e-05,5.668384616656473e-05,0.0011691261475154052,3.326138350637319e-05,1.4322731324736963e-05,4.312617329123663e-05,0.0003137951660982267,0.0019723429952817582,2.9749176184637896e-05,2.4561974778194683e-05,2.9096291607985128e-05,2.579904541340308e-05,3.189631718339101e-05,2.967084948576048e-05,2.8292746370724522e-05,5.0464862852803215e-05,3.422091772327306e-05,2.7069449312369413e-05,5.023988352217926e-05,2.588794451340505e-05,3.8684890294664926e-05,2.9827917520131538e-05,2.0166558844903218e-05
covid_vaccine,9.886966502113124e-06,7.569307504063367e-06,3.345889244966208e-05,3.0350074332401233e-05,4.0711309745759475e-05,4.1460205605267715e-05,2.9515426966100528e-05,2.338946543431888e-05,5.668384616656473e-05,2.576954790456601e-05,3.326138350637319e-05,1.4322731324736963e-05,4.312617329123663e-05,6.916584307154886e-06,0.01738259560258826,2.9749176184637896e-05,2.4561974778194683e-05,2.9096291607985128e-05,2.579904541340308e-05,3.189631718339101e-05,2.967084948576048e-05,2.8292746370724522e-05,5.0464862852803215e-05,3.422091772327306e-05,2.7069449312369413e-05,5.023988352217926e-05,2.588794451340505e-05,3.8684890294664926e-05,2.9827917520131538e-05,2.0166558844903218e-05
long_term_success,9.886966502113124e-06,7.569307504063367e-06,3.345889244966208e-05,0.0013769378342395882,4.0711309745759475e-05,4.1460205605267715e-05,2.9515426966100528e-05,2.338946543431888e-05,5.668384616656473e-05,2.576954790456601e-05,3.326138350637319e-05,1.4322731324736963e-05,4.312617329123663e-05,6.916584307154886e-06,2.611459009498827e-06,2.9749176184637896e-05,2.4561974778194683e-05,2.9096291607985128e-05,2.579904541340308e-05,3.189631718339101e-05,2.967084948576048e-05,2.8292746370724522e-05,5.0464862852803215e-05,3.422091772327306e-05,2.7069449312369413e-05,5.023988352217926e-05,2.588794451340505e-05,3.8684890294664926e-05,2.9827917520131538e-05,2.0166558844903218e-05
required_vaccine,9.886966502113124e-06,7.569307504063367e-06,3.345889244966208e-05,0.0013769378342395882,4.0711309745759475e-05,4.1460205605267715e-05,2.9515426966100528e-05,2.338946543431888e-05,5.668384616656473e-05,2.576954790456601e-05,3.326138350637319e-05,1.4322731324736963e-05,4.312617329123663e-05,6.916584307154886e-06,2.611459009498827e-06,2.9749176184637896e-05,2.4561974778194683e-05,2.9096291607985128e-05,2.579904541340308e-05,3.189631718339101e-05,2.967084948576048e-05,2.8292746370724522e-05,5.0464862852803215e-05,3.422091772327306e-05,2.7069449312369413e-05,5.023988352217926e-05,2.588794451340505e-05,3.8684890294664926e-05,2.9827917520131538e-05,2.0166558844903218e-05
infected,9.886966502113124e-06,7.569307504063367e-06,3.345889244966208e-05,3.0350074332401233e-05,4.0711309745759475e-05,4.1460205605267715e-05,2.9515426966100528e-05,0.0031366570824761793,5.668384616656473e-05,0.004599195946347923,3.326138350637319e-05,1.4322731324736963e-05,0.0019565704848136484,6.916584307154886e-06,2.611459009498827e-06,2.9749176184637896e-05,2.4561974778194683e-05,2.9096291607985128e-05,2.579904541340308e-05,3.189631718339101e-05,2.967084948576048e-05,2.8292746370724522e-05,5.0464862852803215e-05,3.422091772327306e-05,2.7069449312369413e-05,5.023988352217926e-05,2.588794451340505e-05,3.8684890294664926e-05,2.9827917520131538e-05,2.0166558844903218e-05
risk,9.886966502113124e-06,0.07657884795226627,3.345889244966208e-05,3.0350074332401233e-05,4.0711309745759475e-05,4.1460205605267715e-05,2.9515426966100528e-05,2.338946543431888e-05,5.668384616656473e-05,2.576954790456601e-05,3.326138350637319e-05,1.4322731324736963e-05,4.312617329123663e-05,6.916584307154886e-06,0.011589267554728673,2.9749176184637896e-05,2.4561974778194683e-05,2.9096291607985128e-05,2.579904541340308e-05,3.189631718339101e-05,2.967084948576048e-05,0.041453429397123064,5.0464862852803215e-05,3.422091772327306e-05,2.7069449312369413e-05,5.023988352217926e-05,2.588794451340505e-05,3.8684890294664926e-05,2.9827917520131538e-05,0.11902328507982485
