Word,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
mandate,2.2534498470744995e-05,7.675263631602553e-06,0.0026534050295479194,2.935910935103417e-05,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,0.025891410536826302,2.319107429487962e-05,0.027247386750721626
covid,2.2534498470744995e-05,0.058880356234373744,0.004812499345485614,2.935910935103417e-05,3.077820716651322e-05,0.004414422929836624,4.684161053366233e-05,0.047681026060268444,2.319107429487962e-05,0.0002348083728137371
vaccine,2.2534498470744995e-05,0.040482643431016825,0.032400926715800596,0.015074875616961423,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,0.09192054848665099,2.319107429487962e-05,0.017726559945393437
children,0.05888080748735705,0.10975954819400219,0.05135297682236481,0.0403125162103724,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,0.10288138538632188,0.02800954090192528,0.03787528644039031
young,2.2534498470744995e-05,0.017390341843355035,0.0057720968192357,0.0005146983515320145,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,7.98846049502235e-06,2.319107429487962e-05,1.3393795945639651e-05
years,2.2534498470744995e-05,7.675263631602553e-06,0.005532197450798178,0.007309447742065738,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,0.009516184325269779,0.005007061591544128,1.3393795945639651e-05
time,2.2534498470744995e-05,7.675263631602553e-06,0.004572599977048092,2.935910935103417e-05,3.077820716651322e-05,0.006915338147173912,4.684161053366233e-05,0.00463002811698275,2.319107429487962e-05,0.0053273436407799786
people,0.006727907370622349,0.0040678601581655436,0.0002544113451727036,2.935910935103417e-05,0.024961906280592534,3.782129949636918e-05,0.0008211863458293702,0.0022529791507890614,2.319107429487962e-05,0.01639807248418485
choose,2.2534498470744995e-05,7.675263631602553e-06,1.4511976735181967e-05,2.935910935103417e-05,3.077820716651322e-05,3.782129949636918e-05,0.0008211863458293702,7.98846049502235e-06,0.0007899403846409179,0.009755635178141927
vaccinate,2.2534498470744995e-05,0.006097952605432513,1.4511976735181967e-05,0.0010000375937129946,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,7.98846049502235e-06,0.005773810901890167,0.009091391447537634
families,0.0007675759287098121,7.675263631602553e-06,1.4511976735181967e-05,2.935910935103417e-05,3.077820716651322e-05,3.782129949636918e-05,0.0015955310811250783,7.98846049502235e-06,2.319107429487962e-05,0.0020061249877585167
data,2.2534498470744995e-05,0.004194740936119729,0.011049882924861176,0.026723017429304947,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,0.0035735619097855553,0.002706813660506014,1.3393795945639651e-05
evidence,2.2534498470744995e-05,7.675263631602553e-06,0.0026534050295479194,2.935910935103417e-05,3.077820716651322e-05,0.013167626190517132,4.684161053366233e-05,0.0015926877712908148,2.319107429487962e-05,1.3393795945639651e-05
supports,2.2534498470744995e-05,7.675263631602553e-06,1.4511976735181967e-05,0.002941394562436916,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,7.98846049502235e-06,2.319107429487962e-05,1.3393795945639651e-05
safety,2.2534498470744995e-05,0.0030528139345320578,0.013208977240798869,2.935910935103417e-05,3.077820716651322e-05,3.782129949636918e-05,4.684161053366233e-05,7.98846049502235e-06,2.319107429487962e-05,1.3393795945639651e-05
